Task_ID,Task_Category,Model,Model_Size,Quality_Score,Latency_sec,Energy_kWh,CO2_kg,Cost_EUR,Notes
21,Knowledge,Mistral Small,Medium,,,,,,
21,Knowledge,GPT-OSS 20B,Medium,,,,,,
21,Knowledge,GPT-5,Large,,,,,,
21,Knowledge,DeepSeek R1,Large,,,,,,
22,Knowledge,LLaMA 3.1 8B,Small,,,,,,
22,Knowledge,Gemma 8B,Small,,,,,,
22,Knowledge,Mistral Small,Medium,,,,,,
22,Knowledge,GPT-OSS 20B,Medium,,,,,,
22,Knowledge,GPT-5,Large,,,,,,
22,Knowledge,DeepSeek R1,Large,,,,,,
23,Knowledge,LLaMA 3.1 8B,Small,,,,,,
23,Knowledge,Gemma 8B,Small,,,,,,
23,Knowledge,Mistral Small,Medium,,,,,,
23,Knowledge,GPT-OSS 20B,Medium,,,,,,
23,Knowledge,GPT-5,Large,,,,,,
23,Knowledge,DeepSeek R1,Large,,,,,,
24,Knowledge,LLaMA 3.1 8B,Small,,,,,,
24,Knowledge,Gemma 8B,Small,,,,,,
24,Knowledge,Mistral Small,Medium,,,,,,
24,Knowledge,GPT-OSS 20B,Medium,,,,,,
24,Knowledge,GPT-5,Large,,,,,,
24,Knowledge,DeepSeek R1,Large,,,,,,
25,Knowledge,LLaMA 3.1 8B,Small,,,,,,
25,Knowledge,Gemma 8B,Small,,,,,,
25,Knowledge,Mistral Small,Medium,,,,,,
25,Knowledge,GPT-OSS 20B,Medium,,,,,,
25,Knowledge,GPT-5,Large,,,,,,
25,Knowledge,DeepSeek R1,Large,,,,,,
26,Advanced,LLaMA 3.1 8B,Small,,,,,,
26,Advanced,Gemma 8B,Small,,,,,,
26,Advanced,Mistral Small,Medium,,,,,,
26,Advanced,GPT-OSS 20B,Medium,,,,,,
26,Advanced,GPT-5,Large,,,,,,
26,Advanced,DeepSeek R1,Large,,,,,,
27,Advanced,LLaMA 3.1 8B,Small,,,,,,
27,Advanced,Gemma 8B,Small,,,,,,
27,Advanced,Mistral Small,Medium,,,,,,
27,Advanced,GPT-OSS 20B,Medium,,,,,,
27,Advanced,GPT-5,Large,,,,,,
27,Advanced,DeepSeek R1,Large,,,,,,
28,Advanced,LLaMA 3.1 8B,Small,,,,,,
28,Advanced,Gemma 8B,Small,,,,,,
28,Advanced,Mistral Small,Medium,,,,,,
28,Advanced,GPT-OSS 20B,Medium,,,,,,
28,Advanced,GPT-5,Large,,,,,,
28,Advanced,DeepSeek R1,Large,,,,,,
29,Advanced,LLaMA 3.1 8B,Small,,,,,,
29,Advanced,Gemma 8B,Small,,,,,,
29,Advanced,Mistral Small,Medium,,,,,,
29,Advanced,GPT-OSS 20B,Medium,,,,,,
29,Advanced,GPT-5,Large,,,,,,
29,Advanced,DeepSeek R1,Large,,,,,,
30,Advanced,LLaMA 3.1 8B,Small,,,,,,
30,Advanced,Gemma 8B,Small,,,,,,
30,Advanced,Mistral Small,Medium,,,,,,
30,Advanced,GPT-OSS 20B,Medium,,,,,,
30,Advanced,GPT-5,Large,,,,,,
30,Advanced,DeepSeek R1,Large,,,,,,
